Date;Car;Truck;Total;Time;Year;Q1;Q2;Q3;Inventories;CPI_New_Cars;CPI_Used_Cars;Gas_Prices;Cons_Conf_Autos;Miles_Driven;Bank_Auto_Interest_Rate;US_Population_millions;Unemployment;Disposible_Income_Capita_Real;Saving_Capital;Household_Debt_Capital;US_House_Price_Inflation;Consumer_Confidence;RealGDP;Fed_Funds_Rate;US_Urban_CPI_Change;Nonfarm_Payrolls
31/3/1994;876487;572605;1444671;1;1;1;0;0;1381;3.361344538;5.529225908;1.012;5.8;196190;7.54;262.4853236;6.57;26403;1636.986;22017.4617;3.259810942;86.73;37138.07639;3.34;2.5;16799
30/4/1994;787201;525248;1312449;2;1;0;1;0;1343.4;3.279938978;5.128205128;1.037;7.1;195407;7.54;262.757732;6.57;26384;1530.272;22001.6176;3.259810942;92.07;37099.5743;3.56;2.4;16855
31/5/1994;816102;542678;1358780;3;1;0;1;0;1383.6;3.351104341;4.866920152;1.05;6.6;206594;7.76;263.0116959;6.57;26676;1893.996;22245.1164;3.259810942;88.91;37063.75097;4.01;2.3;16932
30/6/1994;870757;577002;1447759;4;1;0;1;0;1416;3.664122137;4.914370812;1.095;5;207280;7.76;263.2928526;6.2;26597;1675.611;22205.8353;2.911299018;92.52;37530.07309;4.25;2.5;17103
31/7/1994;713421;478797;1192218;5;1;0;0;1;1454.6;3.743315508;4.775900073;1.114;8.5;214778;7.76;263.5779023;6.2;26591;1701.824;22200.8259;2.911299018;91.3;37489.4857;4.26;2.8;16991
31/8/1994;787684;517297;1304981;6;1;0;0;1;1428.4;3.669724771;4.727272727;1.161;7.1;215045;8.41;263.8759398;6.2;26600;1569.4;22208.34;2.911299018;90.35;37447.1428;4.47;2.9;17183
30/9/1994;745132;480124;1225256;7;1;0;0;1;1428.3;3.905053599;4.830569575;1.129;6.3;200511;8.41;264.1556105;6;26682;1654.284;22386.198;2.505207454;89.51;37628.19946;4.73;3;17222
31/10/1994;740570;522396;1262966;8;1;0;0;0;1436.5;3.563305534;5.6509299;1.121;6.6;202864;8.41;264.4288316;6;26901;1748.565;22569.939;2.505207454;89.13;37589.32011;4.76;2.6;17226
30/11/1994;674314;498041;1172355;9;1;0;0;0;1432.1;3.223388306;6.680881308;1.117;5;190074;8.75;264.6778576;6;26867;1719.488;22541.413;2.505207454;100.42;37553.95366;5.29;2.7;17238
31/12/1994;694944;494171;1189115;10;1;0;0;0;1445.3;3.204172876;8.758076095;1.134;7;193087;8.75;264.9237958;5.63;26967;1752.855;22711.6074;1.574539363;103.42;37944.87381;5.45;2.7;17230
